age,kVp,mA,views,zspan,kernel,slice_thickness,intensity,volume,edema,subtype,mass_effect,global_seed,case_seed,output_directory
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,109294,921722,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,109294,607022,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,109294,910197,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,60.21824115903722,15.721037214668655,0,epidural,True,109294,83500,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,55.205259317063046,23.256561847351804,11,round,True,109294,136963,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,65.93040743777617,2.5017605185282505,0,subdural,True,109294,172780,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,53.45055834099471,7.6511644439584146,1,round,True,109294,678239,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,58.27598602518263,8.851579628834827,12,round,True,109294,152773,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,0.0,0.0,0,,True,109294,481294,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,52.15430017330228,1.5508069200933257,0,subdural,True,109294,721255,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,59.04235380553922,6.30557491226795,0,subdural,True,109294,955155,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
38.0,120.0,120.0,1000.0,dynamic,soft,1,57.32034039748,3.4527141169631754,0,subdural,True,109294,884420,/home/jayse.weaver/repositories/insilicoich-pub1/datasets/mA_280_run1
