,case,truth,pred,type,volume,intensity
0,case_000,0,0.13213918,None,NaN,NaN
1,case_001,0,0.10609649,None,NaN,NaN
2,case_002,0,0.20476876,None,NaN,NaN
3,case_003,1,0.9999608,"[""['epidural']""]",47.82509803771973,['[60.21824115903722]']
4,case_004,1,0.79805535,"[""['round']""]",108.57582092285156,['[55.205259317063046]']
5,case_005,1,0.37428236,"[""['subdural']""]",6.399631500244139,['[65.93040743777617]']
6,case_006,1,0.9983935,"[""['round']""]",25.661230087280273,['[53.45055834099471]']
7,case_007,1,0.9860379,"[""['round']""]",50.977230072021484,['[58.27598602518263]']
8,case_008,0,0.15499374,None,NaN,NaN
9,case_009,1,0.5745798,"[""['subdural']""]",7.45701789855957,['[52.15430017330228]']
10,case_010,1,0.98246795,"[""['subdural']""]",12.157201766967773,['[59.04235380553922]']
11,case_011,1,0.03523849,"[""['subdural']""]",8.160114288330078,['[57.32034039748]']
12,case_012,1,0.99966896,"[""['epidural']""]",13.390541076660156,['[71.60514092443918]']
13,case_013,0,0.018794369,None,NaN,NaN
14,case_014,1,0.986405,"[""['subdural']""]",43.085575103759766,['[67.65242084583541]']
15,case_015,1,0.2620039,"[""['subdural']""]",1.3036727905273435,['[55.02432252006767]']
16,case_016,1,0.99964166,"[""['epidural']""]",42.45448112487793,['[59.15071930603079]']
17,case_017,1,0.9891018,"[""['round']""]",65.40131568908691,['[57.83731078116554]']
18,case_018,1,0.9990125,"[""['round']""]",34.975528717041016,['[60.908037489285135]']
19,case_019,1,0.9991573,"[""['epidural']""]",74.39541816711426,['[60.92992239437484]']
20,case_020,0,0.07177163,None,NaN,NaN
21,case_021,1,0.99838316,"[""['subdural']""]",67.10052490234375,['[61.91237615230462]']
22,case_022,1,0.9912675,"[""['round']""]",39.487600326538086,['[55.205259317063046]']
23,case_023,1,0.99986196,"[""['epidural']""]",54.848670959472656,['[67.33505351241345]']
24,case_024,1,0.9880327,"[""['subdural']""]",14.358758926391602,['[73.96647000871927]']
25,case_025,1,0.99737704,"[""['round']""]",41.84722900390625,['[52.573207852960536]']
26,case_026,1,0.99957424,"[""['epidural']""]",12.125253677368164,['[48.831341393635256]']
27,case_027,1,0.99962485,"[""['epidural']""]",38.375139236450195,['[64.48832857106297]']
28,case_028,0,0.547256,None,NaN,NaN
29,case_029,1,0.8407244,"[""['round']""]",72.48616218566895,['[46.87042968073845]']
30,case_030,0,0.16747083,None,NaN,NaN
31,case_031,1,0.9991358,"[""['round']""]",51.35488510131836,['[60.03068700125097]']
32,case_032,1,0.5339414,"[""['subdural']""]",9.001493453979492,['[51.00629123459613]']
33,case_033,1,0.8801779,"[""['subdural']""]",15.582084655761719,['[54.4503180507146]']
34,case_034,1,0.9984825,"[""['round']""]",24.721384048461914,['[53.01188309697762]']
35,case_035,0,0.14547576,None,NaN,NaN
36,case_036,1,0.9925298,"[""['round']""]",12.979984283447266,['[59.1533365132168]']
37,case_037,0,0.12488721,None,NaN,NaN
38,case_038,1,0.9828047,"[""['round']""]",15.886068344116211,['[67.4881661495414]']
39,case_039,1,0.9917921,"[""['round']""]",14.132499694824219,['[60.908037489285135]']
40,case_040,1,0.9970994,"[""['round']""]",6.766557693481445,['[58.27598602518263]']
41,case_041,1,0.99952745,"[""['epidural']""]",32.47427940368652,['[58.083197453024354]']
42,case_042,0,0.03249288,None,NaN,NaN
43,case_043,0,0.22650976,None,NaN,NaN
44,case_044,1,0.9132502,"[""['subdural']""]",28.03802490234375,['[59.04235380553922]']
45,case_045,0,0.018552538,None,NaN,NaN
46,case_046,1,0.9253282,"[""['round']""]",14.414072036743164,['[46.87042968073845]']
47,case_047,1,0.9976617,"[""['round']""]",41.80264472961426,['[48.1864554127897]']
48,case_048,1,0.99985516,"[""['epidural']""]",40.09747505187988,['[62.35328486505009]']
49,case_049,0,0.026260093,None,NaN,NaN
50,case_050,0,0.061628405,None,NaN,NaN
51,case_051,1,0.4182733,"[""['subdural']""]",1.7483234405517576,['[65.3564029684231]']
52,case_052,1,0.9996613,"[""['epidural']""]",51.33485794067383,['[68.7584159830887]']
53,case_053,1,0.9855742,"[""['round']""]",18.974781036376953,['[60.908037489285135]']
54,case_054,0,0.04319716,None,NaN,NaN
55,case_055,1,0.92963225,"[""['subdural']""]",10.182619094848633,['[49.85828229588997]']
56,case_056,1,0.99304813,"[""['round']""]",22.065401077270508,['[61.7853879773193]']
57,case_057,1,0.112123445,"[""['subdural']""]",1.0492801666259763,['[46.988259949124576]']
58,case_058,1,0.9883583,"[""['round']""]",14.79792594909668,['[56.5212850491143]']
59,case_059,0,0.23305571,None,NaN,NaN
60,case_060,1,0.99341947,"[""['round']""]",30.376672744750977,['[51.257182120909285]']
61,case_061,1,0.99774384,"[""['subdural']""]",31.59165382385254,['[69.94843872324772]']
62,case_062,1,0.13164912,"[""['epidural']""]",4.179477691650391,['[46.34045706995357]']
63,case_063,1,0.39045465,"[""['subdural']""]",9.867668151855469,['[52.15430017330228]']
64,case_064,1,0.36008564,"[""['subdural']""]",28.387784957885742,['[52.72830464265536]']
65,case_065,1,0.9733103,"[""['round']""]",5.077600479125977,['[58.27598602518263]']
66,case_066,1,0.96235204,"[""['round']""]",8.671760559082031,['[57.83731078116554]']
67,case_067,0,0.013587096,None,NaN,NaN
68,case_068,1,0.23421834,"[""['subdural']""]",5.193710327148436,['[60.76436721359846]']
69,case_069,1,0.44017708,"[""['subdural']""]",13.188838958740234,['[55.59832698942076]']
70,case_070,1,0.977458,"[""['round']""]",9.588479995727539,['[53.01188309697762]']
71,case_071,1,0.99224865,"[""['round']""]",14.075517654418945,['[56.959960293131374]']
72,case_072,1,0.9988564,"[""['subdural']""]",25.086164474487305,['[62.4863806216577]']
73,case_073,0,0.11668599,None,NaN,NaN
74,case_074,1,0.999788,"[""['epidural']""]",58.12954902648926,['[60.57408177670603]']
75,case_075,1,0.9986259,"[""['epidural']""]",25.00462532043457,['[48.831341393635256]']
76,case_076,1,0.9518793,"[""['round']""]",32.01866149902344,['[49.94115638885803]']
77,case_077,1,0.9996581,"[""['subdural']""]",49.40390586853027,['[56.17233145877383]']
78,case_078,0,0.081736036,None,NaN,NaN
79,case_079,1,0.9512621,"[""['round']""]",29.082298278808594,['[50.37983163287512]']
80,case_080,1,0.99725384,"[""['round']""]",13.823270797729492,['[52.13453260894345]']
81,case_081,1,0.32085422,"[""['subdural']""]",21.13509178161621,['[46.41425547977149]']
82,case_082,1,0.98425436,"[""['subdural']""]",13.561487197875977,['[68.22642531518848]']
83,case_083,0,0.040171664,None,NaN,NaN
84,case_084,1,0.9951875,"[""['round']""]",48.42019081115723,['[57.83731078116554]']
85,case_085,1,0.99832815,"[""['round']""]",24.60193634033203,['[56.959960293131374]']
86,case_086,0,0.23778032,None,NaN,NaN
87,case_087,1,0.21648182,"[""['subdural']""]",1.6906261444091792,['[60.76436721359846]']
88,case_088,1,0.0766063,"[""['subdural']""]",1.0039806365966792,['[61.338371682951546]']
89,case_089,1,0.9928833,"[""['round']""]",11.794328689575195,['[67.92684139355848]']
90,case_090,0,0.34579143,None,NaN,NaN
91,case_091,1,0.057462346,"[""['subdural']""]",13.54670524597168,['[51.5802957039492]']
92,case_092,0,0.0966501,None,NaN,NaN
93,case_093,1,0.9981998,"[""['epidural']""]",27.022123336791992,['[49.18718201130406]']
94,case_094,0,0.020953054,None,NaN,NaN
95,case_095,1,0.99675035,"[""['round']""]",39.68930244445801,['[63.97876419740473]']
96,case_096,1,0.06309032,"[""['subdural']""]",1.3394355773925777,['[53.87631358136152]']
97,case_097,1,0.12607773,"[""['subdural']""]",4.9393177032470685,['[54.4503180507146]']
98,case_098,1,0.99910635,"[""['epidural']""]",38.941383361816406,['[67.69089413008226]']
99,case_099,1,0.9999324,"[""['epidural']""]",25.205135345458984,['[74.8077064834585]']
